"Time" "Int" "rKB/s" "wKB/s" "rPk/s" "wPk/s" "rAvs" "wAvs" "%Util" "Sat"
"09:24:42 AM" "e1000g0" 28050.2 1014.8 19509.5 5632.3 1472.3 184.5 23 0
"09:25:12 AM" "e1000g0" 0.65 3.19 3.17 3.2 211.6 1020.5 0 0
"09:25:42 AM" "e1000g0" 8329.9 262.3 5775.1 1076.8 1477 249.4 6.82 0
"09:26:12 AM" "e1000g0" 13103.5 411.7 9082.3 1698.6 1477.4 248.2 10.7 0
"09:26:42 AM" "e1000g0" 13000.9 405.6 9010.7 1682.5 1477.5 246.8 10.7 0
"09:27:12 AM" "e1000g0" 12624.8 394.1 8750 1637 1477.5 246.5 10.3 0
"09:27:42 AM" "e1000g0" 13072 407.7 9059.9 1690.3 1477.5 247 10.7 0
"09:28:12 AM" "e1000g0" 12829.5 400.3 8891.8 1660.8 1477.5 246.8 10.5 0
"09:28:42 AM" "e1000g0" 13224.9 412.7 9166 1713.7 1477.5 246.6 10.8 0
"09:29:12 AM" "e1000g0" 12929.9 403.3 8961.6 1672.7 1477.4 246.9 10.6 0
"09:29:42 AM" "e1000g0" 12984.1 405.2 8999.2 1682.8 1477.4 246.6 10.6 0
"09:30:12 AM" "e1000g0" 13300.3 414.6 9218.7 1715.4 1477.4 247.5 10.9 0
"09:30:42 AM" "e1000g0" 12848.7 403.1 8906 1664.8 1477.3 247.9 10.5 0
"09:31:12 AM" "e1000g0" 13077.4 407.7 9063.3 1692.8 1477.5 246.7 10.7 0
"09:31:42 AM" "e1000g0" 13000 405.6 9009.6 1686.2 1477.5 246.3 10.6 0
"09:32:12 AM" "e1000g0" 12962.8 404.3 8983.9 1680.5 1477.5 246.4 10.6 0
"09:32:42 AM" "e1000g0" 12593.3 392.7 8727.8 1631.2 1477.5 246.5 10.3 0
"09:33:12 AM" "e1000g0" 12904.2 402.4 8943.3 1670.5 1477.5 246.6 10.6 0
"09:33:42 AM" "e1000g0" 12864.8 401.1 8916 1665.1 1477.5 246.7 10.5 0
"09:34:12 AM" "e1000g0" 12965.4 404.4 8985.7 1681.2 1477.5 246.3 10.6 0
"09:34:42 AM" "e1000g0" 13348.3 416 9251.1 1724.8 1477.5 247 10.9 0
"09:35:12 AM" "e1000g0" 12811.7 399.6 8879.1 1660 1477.5 246.5 10.5 0
"09:35:42 AM" "e1000g0" 13128.2 409.3 9098.5 1698.9 1477.5 246.7 10.8 0
"09:36:12 AM" "e1000g0" 13209.9 411.8 9155.1 1709 1477.5 246.8 10.8 0
"09:36:42 AM" "e1000g0" 12998.5 405.3 9008.8 1682.3 1477.5 246.7 10.6 0
"09:37:12 AM" "e1000g0" 13059.1 407.1 9050.6 1689.3 1477.5 246.8 10.7 0
"09:37:42 AM" "e1000g0" 12840.2 400.7 8898.9 1666.7 1477.5 246.2 10.5 0
"09:38:12 AM" "e1000g0" 13290.9 414 9211.3 1713.8 1477.5 247.3 10.9 0
"09:38:42 AM" "e1000g0" 13425.4 418.3 9304.5 1734.2 1477.5 247 11 0
"09:39:12 AM" "e1000g0" 13116.6 408.9 9090.4 1696.3 1477.5 246.8 10.7 0
"09:39:42 AM" "e1000g0" 13013.4 405.6 9019 1682.6 1477.5 246.9 10.7 0
"09:40:12 AM" "e1000g0" 13487.2 420.1 9347.3 1740.2 1477.5 247.2 11 0
"09:40:42 AM" "e1000g0" 13184.7 410.8 9137.8 1702.9 1477.5 247 10.8 0
"09:41:12 AM" "e1000g0" 12756.8 397.9 8841.2 1653.2 1477.5 246.5 10.5 0
"09:41:42 AM" "e1000g0" 12899.1 402.2 8939.7 1669.8 1477.5 246.6 10.6 0
"09:42:12 AM" "e1000g0" 13201 411.6 9148.9 1707.9 1477.5 246.8 10.8 0
"09:42:42 AM" "e1000g0" 13250.3 412.8 9183.1 1709.9 1477.5 247.2 10.9 0
"09:43:12 AM" "e1000g0" 13429 418.4 9306.9 1733.3 1477.5 247.2 11 0
"09:43:42 AM" "e1000g0" 13485.8 420.2 9346.3 1740.9 1477.5 247.1 11 0
"09:44:12 AM" "e1000g0" 14178.7 441.5 9826.5 1826.7 1477.5 247.5 11.6 0
"09:44:42 AM" "e1000g0" 13519.7 421.1 9369.8 1743.1 1477.5 247.4 11.1 0
"09:45:12 AM" "e1000g0" 13958.3 434.7 9673.8 1800 1477.5 247.3 11.4 0
"09:45:42 AM" "e1000g0" 13246.8 413.1 9180.6 1715.2 1477.5 246.6 10.9 0
"09:46:12 AM" "e1000g0" 13162.4 410.2 9122.2 1701.2 1477.5 246.9 10.8 0
"09:46:42 AM" "e1000g0" 12991 405.1 9003.4 1682.4 1477.5 246.6 10.6 0
"09:47:12 AM" "e1000g0" 12852.6 400.7 8907.5 1663.4 1477.5 246.7 10.5 0
"09:47:42 AM" "e1000g0" 12302.7 383.9 8526.4 1597.5 1477.5 246.1 10.1 0
"09:48:12 AM" "e1000g0" 13226.1 412.1 9166.3 1708.2 1477.5 247.1 10.8 0
"09:48:42 AM" "e1000g0" 12963.1 404.3 8984.3 1679 1477.5 246.5 10.6 0
"09:49:12 AM" "e1000g0" 12994.8 405.1 9006 1681.6 1477.5 246.7 10.6 0
"09:49:42 AM" "e1000g0" 12817.2 399.8 8883.1 1661.6 1477.5 246.4 10.5 0
"09:50:12 AM" "e1000g0" 13348.9 416.1 9251.5 1726.8 1477.5 246.8 10.9 0
"09:50:42 AM" "e1000g0" 13639.5 425 9452.9 1760.9 1477.5 247.1 11.2 0
"09:51:12 AM" "e1000g0" 13501.7 420.8 9357.3 1745.6 1477.5 246.9 11.1 0
"09:51:42 AM" "e1000g0" 13022.6 405.9 9025.3 1683.4 1477.5 246.9 10.7 0
"09:52:12 AM" "e1000g0" 13136.6 409.8 9104.3 1703.3 1477.5 246.4 10.8 0
"09:52:42 AM" "e1000g0" 12686.7 395.7 8792.5 1643.9 1477.5 246.5 10.4 0
"09:53:12 AM" "e1000g0" 13113.7 408.9 9088.5 1697.4 1477.5 246.7 10.7 0
"09:53:42 AM" "e1000g0" 12832.9 400 8893.9 1659.6 1477.5 246.8 10.5 0
"09:54:12 AM" "e1000g0" 12949.2 403.5 8974.5 1673 1477.5 247 10.6 0
"09:54:42 AM" "e1000g0" 13021.1 405.8 9024.2 1683.2 1477.5 246.9 10.7 0
"09:55:12 AM" "e1000g0" 12597.4 392.9 8730.7 1632.6 1477.5 246.5 10.3 0
"09:55:42 AM" "e1000g0" 12892.4 402 8935.1 1669.4 1477.5 246.6 10.6 0
"09:56:12 AM" "e1000g0" 12765.6 398.1 8847.1 1652.9 1477.5 246.6 10.5 0
"09:56:42 AM" "e1000g0" 13245.1 412.9 9179.5 1713.6 1477.5 246.7 10.9 0
"09:57:12 AM" "e1000g0" 6308.3 196.5 4372.4 814.2 1477.4 247.2 5.17 0
"09:57:42 AM" "e1000g0" 0.04 0 0.63 0.03 70.21 70 0 0
"09:58:12 AM" "e1000g0" 0.05 0.01 0.73 0.13 70.73 73 0 0
"09:58:42 AM" "e1000g0" 20488.5 636.5 14199.3 2617.4 1477.5 249 16.8 0
"09:59:12 AM" "e1000g0" 32542.5 1010.6 22552.6 4152.4 1477.6 249.2 26.7 0
"09:59:42 AM" "e1000g0" 32706.1 1015.6 22666.1 4173.2 1477.6 249.2 26.8 0
"10:00:12 AM" "e1000g0" 32763.2 1017.4 22705.6 4179.8 1477.6 249.2 26.8 0
"10:00:42 AM" "e1000g0" 32624 1013.1 22609 4162.1 1477.6 249.2 26.7 0
"10:01:12 AM" "e1000g0" 32678.3 1014.8 22646.8 4169.6 1477.6 249.2 26.8 0
"10:01:42 AM" "e1000g0" 32690.3 1015.1 22655.1 4170.8 1477.6 249.2 26.8 0
"10:02:12 AM" "e1000g0" 32566.8 1011.3 22569.5 4155.6 1477.6 249.2 26.7 0
"10:02:42 AM" "e1000g0" 30012 932.5 20798.9 3837.1 1477.6 248.9 24.6 0
"10:03:12 AM" "e1000g0" 24246.5 755.3 16803.6 3128.3 1477.6 247.2 19.9 0
"10:03:42 AM" "e1000g0" 31260.9 971.3 21664.5 3996.1 1477.6 248.9 25.6 0
"10:04:12 AM" "e1000g0" 32481.6 1008.7 22510.6 4144.6 1477.6 249.2 26.6 0
"10:04:42 AM" "e1000g0" 32562.4 1011.1 22566.4 4154 1477.6 249.3 26.7 0
"10:05:12 AM" "e1000g0" 32465.6 1008.2 22499.3 4142.7 1477.6 249.2 26.6 0
"10:05:42 AM" "e1000g0" 32447.5 1007.6 22486.9 4140.2 1477.6 249.2 26.6 0
"10:06:12 AM" "e1000g0" 32378.8 1005.5 22439.2 4131.3 1477.6 249.2 26.5 0
"10:06:42 AM" "e1000g0" 32674.2 1014.6 22643.8 4168.2 1477.6 249.3 26.8 0
"10:07:12 AM" "e1000g0" 32453.7 1007.9 22491.4 4141.8 1477.6 249.2 26.6 0
"10:07:42 AM" "e1000g0" 32418.5 1006.7 22466.8 4136.8 1477.6 249.2 26.6 0
"10:08:12 AM" "e1000g0" 32458.2 1008 22494.2 4142 1477.6 249.2 26.6 0
"10:08:42 AM" "e1000g0" 32341.4 1004.3 22413.4 4126.9 1477.6 249.2 26.5 0
"10:09:12 AM" "e1000g0" 32490.3 1008.9 22516.4 4144.5 1477.6 249.3 26.6 0
"10:09:42 AM" "e1000g0" 32711 1015.8 22669.6 4173.3 1477.6 249.2 26.8 0
"10:10:12 AM" "e1000g0" 32678.5 1014.7 22646.9 4168.7 1477.6 249.3 26.8 0
"10:10:42 AM" "e1000g0" 32471.7 1008.4 22503.6 4143.8 1477.6 249.2 26.6 0
"10:11:12 AM" "e1000g0" 32680 1014.8 22647.9 4169.9 1477.6 249.2 26.8 0
"10:11:42 AM" "e1000g0" 32712.4 1015.8 22670.3 4173.5 1477.6 249.2 26.8 0
"10:12:12 AM" "e1000g0" 32612.2 1012.7 22600.9 4161.1 1477.6 249.2 26.7 0
"10:12:42 AM" "e1000g0" 31900.2 990.8 22107.5 4072.7 1477.6 249.1 26.1 0
"10:13:12 AM" "e1000g0" 32553.8 1010.9 22560.5 4153.6 1477.6 249.2 26.7 0
"10:13:42 AM" "e1000g0" 32604 1012.5 22595.3 4160.1 1477.6 249.2 26.7 0
"10:14:12 AM" "e1000g0" 32545.4 1010.6 22554.7 4152.4 1477.6 249.2 26.7 0
"10:14:42 AM" "e1000g0" 32613.9 1012.7 22602.1 4160.9 1477.6 249.2 26.7 0
"10:15:12 AM" "e1000g0" 32399.8 1006.2 22453.8 4134.8 1477.6 249.2 26.5 0
"10:15:42 AM" "e1000g0" 32519.2 1009.8 22536.4 4149 1477.6 249.2 26.6 0
"10:16:12 AM" "e1000g0" 32462.1 1008.1 22497 4142.3 1477.6 249.2 26.6 0
"10:16:42 AM" "e1000g0" 32453.7 1007.8 22491.1 4141.3 1477.6 249.2 26.6 0
"10:17:12 AM" "e1000g0" 32606.4 1012.5 22596.9 4159.6 1477.6 249.3 26.7 0
"10:17:42 AM" "e1000g0" 32408.9 1006.4 22460 4134.8 1477.6 249.2 26.5 0
"10:18:12 AM" "e1000g0" 32456.1 1007.9 22492.7 4141.2 1477.6 249.2 26.6 0
"10:18:42 AM" "e1000g0" 32594.7 1012.2 22588.9 4159.3 1477.6 249.2 26.7 0
"10:19:12 AM" "e1000g0" 32542.8 1010.6 22552.8 4152.8 1477.6 249.2 26.7 0
"10:19:42 AM" "e1000g0" 32742.4 1016.7 22691.3 4177.4 1477.6 249.2 26.8 0
"10:20:12 AM" "e1000g0" 32601 1012.4 22593.2 4160.3 1477.6 249.2 26.7 0
"10:20:42 AM" "e1000g0" 32718.2 1016 22674.4 4174.2 1477.6 249.2 26.8 0
"10:21:12 AM" "e1000g0" 32672.1 1014.6 22642.5 4169.3 1477.6 249.2 26.8 0
"10:21:42 AM" "e1000g0" 32663.3 1014.2 22636.2 4166.6 1477.6 249.3 26.8 0
"10:22:12 AM" "e1000g0" 32635.1 1013.5 22616.9 4164.5 1477.6 249.2 26.7 0
"10:22:42 AM" "e1000g0" 32015.5 994.5 22187.5 4089 1477.6 249 26.2 0
"10:23:12 AM" "e1000g0" 32641.9 1013.6 22621.5 4164.3 1477.6 249.2 26.7 0
"10:23:42 AM" "e1000g0" 32659.3 1014.2 22633.6 4167.6 1477.6 249.2 26.8 0
"10:24:12 AM" "e1000g0" 32621.9 1013 22607.7 4162.4 1477.6 249.2 26.7 0
"10:24:42 AM" "e1000g0" 32604.3 1012.4 22595.3 4159.5 1477.6 249.2 26.7 0
"10:25:12 AM" "e1000g0" 32602.8 1012.5 22594.6 4160.4 1477.6 249.2 26.7 0
"10:25:42 AM" "e1000g0" 32558.6 1011.1 22563.8 4154.5 1477.6 249.2 26.7 0
"10:26:12 AM" "e1000g0" 32595.6 1012.2 22589.4 4158.9 1477.6 249.2 26.7 0
"10:26:42 AM" "e1000g0" 32685.8 1015 22651.9 4169.8 1477.6 249.2 26.8 0
"10:27:12 AM" "e1000g0" 32563.9 1011.3 22567.5 4155.4 1477.6 249.2 26.7 0
"10:27:42 AM" "e1000g0" 32418.9 1006.7 22467 4136.9 1477.6 249.2 26.6 0
"10:28:12 AM" "e1000g0" 32478.9 1008.6 22508.5 4144 1477.6 249.2 26.6 0
"10:28:42 AM" "e1000g0" 32503.6 1009.4 22525.8 4148.1 1477.6 249.2 26.6 0
"10:29:12 AM" "e1000g0" 32406.9 1006.3 22458.7 4134.6 1477.6 249.2 26.5 0
"10:29:42 AM" "e1000g0" 32487.3 1009 22515.9 4146.8 1477.5 249.2 26.6 0
"10:30:12 AM" "e1000g0" 14689.5 456.1 10180.7 1873.9 1477.5 249.3 12 0
"10:30:42 AM" "e1000g0" 0.06 0.01 0.77 0.07 76.26 100 0 0
"10:31:12 AM" "e1000g0" 0.09 0.03 1.1 0.43 81.64 71.54 0 0
"10:31:42 AM" "e1000g0" 20820.4 647.8 14429.4 2674.3 1477.5 248 17.1 0
"10:32:12 AM" "e1000g0" 43258 1345.1 29978.4 5546 1477.6 248.4 35.4 0
"10:32:42 AM" "e1000g0" 42698.7 1327.7 29590.9 5473.6 1477.6 248.4 35 0
"10:33:12 AM" "e1000g0" 43376.2 1348.9 30060.5 5562.1 1477.6 248.3 35.5 0
